               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037769,            0.019212,             0.11041,             0.92068,            0.038396,            0.016328,             0.01168,            0.018561,           0.0093368,            0.077295,           0.0033328,           0.0033328,            0.070005
                   1,            0.030911,            0.015779,            0.088285,             0.87159,            0.079767,            0.047646,            0.035939,            0.017591,           0.0089035,            0.063198,           0.0053462,           0.0053462,            0.038685
                   2,            0.030602,             0.01583,            0.079114,             0.77248,             0.14016,            0.085693,            0.066689,            0.016936,           0.0086818,             0.05629,           0.0060397,           0.0060397,           0.0060452
                   3,            0.028441,            0.015397,            0.072402,             0.76386,             0.15706,             0.12548,             0.10034,             0.01603,           0.0083492,            0.050473,             0.00406,             0.00406,             0.00406
                   4,            0.028132,            0.015158,            0.068432,             0.70317,             0.19596,             0.14884,             0.11952,            0.015768,           0.0082449,            0.047566,             0.00406,             0.00406,             0.00406
